batsman,out,numberofballs,average,strikerate,total_runs
S Rana,5,81,18.2,112.345679,91
RT Ponting,8,127,11.375,71.65354331,91
AD Nath,10,98,9,91.83673469,90
S Hetmyer,5,73,18,123.2876712,90
MJ McClenaghan,11,70,8,125.7142857,88
Iqbal Abdulla,1,83,88,106.0240964,88
SL Malinga,12,99,7.333333333,88.88888889,88
AP Majumdar,4,76,21.75,114.4736842,87
J Archer,7,61,12,137.704918,84
RE Levi,6,73,13.83333333,113.6986301,83
LA Carseldine,3,68,27,119.1176471,81
WPUJC Vaas,7,73,11.57142857,110.9589041,81
Shahid Afridi,8,46,10.125,176.0869565,81
AD Mascarenhas,10,78,7.9,101.2820513,79
PJ Cummins,6,55,12.83333333,140,77
S Rutherford,5,53,15.4,145.2830189,77
B Akhil,7,55,10.85714286,138.1818182,76
IR Jaggi,5,97,15.2,78.35051546,76
TR Birt,5,58,15,129.3103448,75
Washington Sundar,6,50,12.5,150,75
M Klinger,4,77,18.25,94.80519481,73
RR Sarwan,3,75,24.33333333,97.33333333,73
L Livingstone,3,47,23.66666667,151.0638298,71
DL Chahar,6,44,11.83333333,161.3636364,71
K Rabada,6,78,11.66666667,89.74358974,70
AA Bilakhia,5,85,13.8,81.17647059,69
H Klaasen,5,57,13.4,117.5438596,67
RR Powar,3,63,22.33333333,106.3492063,67
R Singh,6,65,11,101.5384615,66
R Sharma,11,75,6,88,66
Mohammad Hafeez,8,82,8,78.04878049,64
CR Woakes,5,66,12.6,95.45454545,63
WD Parnell,9,75,7,84,63
Anirudh Singh,4,66,15.75,95.45454545,63
A Flintoff,2,53,31,116.9811321,62
S Aravind,3,56,19.66666667,105.3571429,59
WA Mota,5,73,11.2,76.71232877,56
JD Unadkat,7,53,7.857142857,103.7735849,55
M Rawat,5,69,11,79.71014493,55
I Sharma,7,61,7.857142857,90.16393443,55
J Suchith,2,46,27,117.3913043,54
Mohammed Shami,9,52,6,103.8461538,54
A Chopra,5,71,10.6,74.64788732,53
RR Rossouw,6,51,8.833333333,103.9215686,53
RP Singh,15,72,3.466666667,72.22222222,52
NM Coulter-Nile,7,50,7.428571429,104,52
Shoaib Malik,4,47,13,110.6382979,52
KB Arun Karthik,5,50,10.2,102,51
R Rampaul,5,49,10.2,104.0816327,51
RV Gomez,7,50,7.142857143,100,50
SB Bangar,6,58,8.166666667,84.48275862,49
VR Aaron,3,62,16.33333333,79.03225806,49
AG Paunikar,5,57,9.8,85.96491228,49
Yashpal Singh,4,66,11.75,71.21212121,47
Kuldeep Yadav,4,54,11.25,83.33333333,45
Sunny Singh,4,31,10.75,138.7096774,43
AB Barath,2,42,21,100,42
SK Trivedi,8,59,5.25,71.18644068,42
JDS Neesham,3,46,14,91.30434783,42
A Nehra,8,59,5.125,69.49152542,41
LPC Silva,2,25,20,160,40
S Dube,4,33,10,121.2121212,40
BR Dunk,3,35,13.33333333,114.2857143,40
Umar Gul,3,19,13,205.2631579,39
AUK Pathan,5,23,7.8,169.5652174,39
DJ Thornely,3,52,13,75,39
MM Patel,5,41,7.8,95.12195122,39
SP Jackson,2,31,19,122.5806452,38
JO Holder,5,31,7.6,122.5806452,38
Anureet Singh,4,46,9.25,80.43478261,37
S Narwal,4,27,9.25,137.037037,37
JJ Bumrah,3,38,12.33333333,97.36842105,37
Sohail Tanvir,3,29,12,124.137931,36
L Balaji,7,47,5.142857143,76.59574468,36
KW Richardson,3,39,12,92.30769231,36
Joginder Sharma,4,30,9,120,36
AN Ahmed,1,26,36,138.4615385,36
SN Thakur,4,21,9,171.4285714,36
A Kumble,2,46,17.5,76.08695652,35
B Sumanth,1,37,35,94.59459459,35
S Sreesanth,3,52,11.33333333,65.38461538,34
AP Dole,2,22,17,154.5454545,34
A Mithun,5,25,6.8,136,34
L Ronchi,3,34,11.33333333,100,34
M Santner,1,23,33,143.4782609,33
D Salunkhe,1,24,33,137.5,33
Basil Thampi,2,33,16,96.96969697,32
RJ Peterson,3,29,10.66666667,110.3448276,32
Mohammed Siraj,3,36,10.66666667,88.88888889,32
S Nadeem,14,77,2.285714286,41.55844156,32
S Sriram,2,36,15.5,86.11111111,31
T Taibu,3,26,10.33333333,119.2307692,31
M Markande,3,29,10,103.4482759,30
J Syed Mohammad,2,26,14.5,111.5384615,29
VH Zol,2,26,14.5,111.5384615,29
SB Jakati,2,29,14,96.55172414,28
M Lomror,2,24,14,116.6666667,28
JM Kemp,2,24,13,108.3333333,26
NL McCullum,3,21,8.666666667,123.8095238,26
AB Dinda,9,47,2.888888889,55.31914894,26
Sandeep Sharma,3,38,8.666666667,68.42105263,26
A Choudhary,2,20,12.5,125,25
S Chanderpaul,3,31,8.333333333,80.64516129,25
KC Cariappa,3,21,8,114.2857143,24
MA Khote,2,20,12,120,24
ER Dwivedi,2,14,12,171.4285714,24
PJ Sangwan,7,39,3.428571429,61.53846154,24
BMAJ Mendis,3,27,7.666666667,85.18518519,23
T Curran,3,27,7.666666667,85.18518519,23
J Arunkumar,3,23,7.666666667,100,23
NS Naik,2,31,11.5,74.19354839,23
SW Tait,3,26,7.666666667,88.46153846,23
MS Wade,3,33,7.333333333,66.66666667,22
GB Hogg,2,22,11,100,22
YS Chahal,4,48,5.5,45.83333333,22
CA Ingram,2,26,10.5,80.76923077,21
DE Bollinger,1,22,21,95.45454545,21
RR Raje,1,18,20,111.1111111,20
M Muralitharan,6,29,3.333333333,68.96551724,20
K Paul,4,24,5,83.33333333,20
AC Thomas,2,19,10,105.2631579,20
H Brar,0,12,,166.6666667,20
Imran Tahir,4,27,5,74.07407407,20
NJ Maddinson,3,21,6.666666667,95.23809524,20
Harpreet Singh,2,26,10,76.92307692,20
R Shukla,2,23,9.5,82.60869565,19
DR Martyn,2,24,9.5,79.16666667,19
R Bishnoi,3,17,6.333333333,111.7647059,19
P Sahu,0,13,,146.1538462,19
A Mukund,2,22,9.5,86.36363636,19
Y Gnaneswara Rao,1,17,19,111.7647059,19
P R Barman,1,24,19,79.16666667,19
Vishnu Vinod,3,26,6.333333333,73.07692308,19
JJ van der Wath,2,16,9,112.5,18
Harmeet Singh,2,12,9,150,18
BJ Haddin,1,11,18,163.6363636,18
PV Tambe,1,39,18,46.15384615,18
DS Lehmann,2,18,9,100,18
Parvez Rasool,2,20,8.5,85,17
AS Rajpoot,3,30,5.666666667,56.66666667,17
PP Ojha,10,44,1.6,36.36363636,16
CK Kapugedera,3,23,5.333333333,69.56521739,16
S Singh,1,17,16,94.11764706,16
SA Abbott,1,13,15,115.3846154,15
C Madan,1,19,15,78.94736842,15
GR Napier,1,16,15,93.75,15
VY Mahesh,2,26,7.5,57.69230769,15
RD Chahar,2,13,7.5,115.3846154,15
A Joseph,0,13,,115.3846154,15
SD Lad,1,13,15,115.3846154,15
F Behardien,2,13,7,107.6923077,14
MDKJ Perera,2,13,7,107.6923077,14
S Badree,5,23,2.6,56.52173913,13
S Mavi,3,15,4.333333333,86.66666667,13
DT Patil,1,13,13,100,13
KJ Abbott,1,8,13,162.5,13
D Shorey,2,17,6.5,76.47058824,13
Swapnil Singh,3,20,4,60,12
T Thushara,2,18,6,66.66666667,12
TA Boult,2,14,6,85.71428571,12
DAJ Bracewell,0,9,,133.3333333,12
M Ur Rahman,2,11,6,109.0909091,12
AR Bawne,0,12,,100,12
AA Chavan,1,11,12,109.0909091,12
Karanveer Singh,1,17,12,70.58823529,12
K Upadhyay,0,9,,133.3333333,12
S Kaul,3,28,4,42.85714286,12
M Ntini,1,18,11,61.11111111,11
BB Sran,1,14,11,78.57142857,11
T Henderson,1,16,11,68.75,11
T Kohli,3,19,3.666666667,57.89473684,11
DNT Zoysa,1,9,11,122.2222222,11
X Thalaivan Sargunam,1,17,10,58.82352941,10
J Theron,2,12,5,83.33333333,10
AG Murtaza,1,14,10,71.42857143,10
TD Paine,2,26,5,38.46153846,10
KAJ Roach,1,9,10,111.1111111,10
SMSM Senanayake,1,17,10,58.82352941,10
D du Preez,1,13,10,76.92307692,10
AA Noffke,1,10,9,90,9
SM Harwood,0,13,,69.23076923,9
Jaskaran Singh,2,11,4,72.72727273,8
CJ McKay,1,15,8,53.33333333,8
J Searles,1,6,8,133.3333333,8
TS Mills,3,11,2.666666667,72.72727273,8
P Chopra,1,6,8,133.3333333,8
TM Srivastava,1,11,8,72.72727273,8
CK Langeveldt,2,9,4,88.88888889,8
UA Birla,1,14,7,50,7
VS Malik,1,7,7,100,7
Pankaj Singh,2,12,3.5,58.33333333,7
AF Milne,3,12,2.333333333,58.33333333,7
N Naik,1,16,7,43.75,7
AN Ghosh,2,8,3.5,87.5,7
Ankit Soni,2,8,3.5,87.5,7
I Malhotra,0,4,,175,7
R Bhui,2,17,3.5,41.17647059,7
I Sodhi,2,17,3.5,41.17647059,7
DM Bravo,0,5,,120,6
SS Shaikh,0,7,,85.71428571,6
